0	0.541261	1	4
1	0.200956	1	0
2	0.481535	1	1
3	0.634635	0	2
4	0.447454	14	0
5	0.692459	989	4
6	0.759632	2	3
7	0.683801	6	4
8	0.97068	0	3
9	0.939679	1	2
10	0.931568	7	3
11	0.828749	1	1
12	0.37425	0	1
13	0.843987	1	3
14	0.351375	20	3
15	0.217952	3	3
16	0.807319	2	3
17	0.404222	0	1
18	0.218306	77	0
19	0.101634	2	0
20	0.865695	970	2
21	0.468324	25	1
22	0.026549	1	0
23	0.719585	327	4
24	0.619736	1	1
25	0.872895	144	2
26	0.480137	1	3
27	0.918697	4	4
28	0.855526	1	0
29	0.17753	0	4
30	0.533102	1	4
31	0.0962244	140	4
32	0.133746	1	0
33	0.0896524	1	3
34	0.679812	1	2
35	0.341041	140	2
36	0.986122	1	3
37	0.213259	4	3
38	0.880595	1	1
39	0.668071	95	0
40	0.943159	1	4
41	0.547994	60	3
42	0.940015	2	1
43	0.0156586	0	1
44	0.729793	0	3
45	0.330448	1	2
46	0.140608	0	2
47	0.501326	1	0
48	0.549045	51	4
49	0.938627	1	0
50	0.611508	134	1
51	0.29958	1	4
52	0.923231	254	3
53	0.398589	1	3
54	0.136586	0	4
55	0.595073	2	0
56	0.0967844	40	3
57	0.371598	137	2
58	0.828606	1	0
59	0.814392	21	2
60	0.98457	1	0
61	0.226025	1	4
62	0.769467	1	0
63	0.0613024	11	4
64	0.77398	1	0
65	0.951257	0	0
66	0.493363	4	2
67	0.912899	2	3
68	0.413821	2	0
69	0.870151	8	0
70	0.660725	0	2
71	0.37568	1	2
72	0.632209	2	0
73	0.417449	1	1
74	0.640125	1	0
75	0.502944	11	3
76	0.622445	1	2
77	0.513539	1	2
78	0.699568	1	1
79	0.778509	532	4
80	0.851454	1	3
81	0.0542714	1	1
82	0.102292	1	3
83	0.842705	11	4
84	0.0367712	1	4
85	0.183218	3	1
86	0.218749	5	0
87	0.102191	21	0
88	0.0950686	46	0
89	0.0028278	3	2
90	0.326764	3	3
91	0.753693	1	4
92	0.711238	1	0
93	0.373532	19	0
94	0.637045	1	3
95	0.761386	0	1
96	0.308107	1	4
97	0.790943	44	2
98	0.908679	1	2
99	0.404437	1	2
100	0.931339	6	2
101	0.115175	1	2
102	0.886696	32	3
103	0.945906	1	1
104	0.814292	104	3
105	0.0596939	1	3
106	0.757643	167	0
107	0.823831	1	2
108	0.662663	4	3
109	0.688688	1	0
110	0.355416	2	4
111	0.376473	2	0
