1|Toy Story (1995)|Adventure Fantasy Animation|0.0671316459774971 0.44908642768859863 0.515964150428772 0.027530264109373093 0.25389906764030457 0.08215153962373734 0.08124342560768127 0.17254121601581573 0.02121226117014885 0.27094343304634094 0.028695691376924515 0.35338354110717773 0.16225625574588776 0.34858906269073486 1.088714838027954 0.10164399445056915 0.07863281667232513 0.07123962044715881 0.20133332908153534 0.01744535006582737 0.28020769357681274 0.20746219158172607 0.05306283384561539 0.04869185388088226 0.98980706930160521|1995|8.3
2|Jumanji (1995)|Adventure Fantasy|0.055291417986154556 0.4357445538043976 0.18359826505184174 0.02771918661892414 0.5089824199676514 0.3396274745464325 0.05873197689652443 0.10899079591035843 0.033214688301086426 0.0740891844034195 0.03217703849077225 0.04751153290271759 0.262971967458725 0.0527520589530468 0.7614306807518005 0.17246654629707336 0.1469523310661316 0.2171405553817749 0.11012370139360428 0.01645403727889061 0.4402722120285034 0.02747271955013275 0.026862768456339836 0.030163198709487915 0.85607558488845832|1995|7.0
10|GoldenEye (1995)|Adventure|0.04720732197165489 0.09126085788011551 0.2019527703523636 0.011780221946537495 0.27057740092277527 0.24044272303581238 0.2467108517885208 0.08887865394353867 0.033151883631944656 0.2700843811035156 0.03648955374956131 0.24817679822444916 0.2371433526277542 0.23605526983737946 0.600548267364502 0.27691081166267395 0.055166590958833694 0.10532332956790924 0.05204571411013603 0.01592204160988331 0.5438836812973022 0.06652714312076569 0.058157142251729965 0.030882788822054863 1.09884858131408710|1995|7.2
13|Balto (1995)|Adventure Animation|0.08440270274877548 0.32461732625961304 0.30778029561042786 0.03131815046072006 0.5053694248199463 0.364875853061676 0.18055906891822815 0.24303193390369415 0.07195998728275299 0.00446229288354516 0.08443302661180496 0.13564330339431763 0.09933102130889893 0.14992645382881165 0.8455999493598938 0.21401678025722504 0.26653799414634705 0.3239825367927551 0.23457704484462738 0.034810736775398254 0.2566816210746765 0.05829399451613426 0.0806003138422966 0.06697768718004227 0.692133426666259813|1995|7.1
15|Cutthroat Island (1995)|Adventure|0.027330046519637108 0.1316239833831787 0.0 0.03701635077595711 0.5273024439811707 0.576836109161377 0.06514009088277817 0.05879643186926842 0.04371153563261032 0.09195943921804428 0.018348993733525276 0.0 0.23697790503501892 0.0 0.474179208278656 0.2216632068157196 0.21273554861545563 0.33300521969795227 0.05645088478922844 0.014465508982539177 0.44564905762672424 0.0 0.0 0.023055609315633774 0.813930928707122815|1995|5.7
29|City of Lost Children, The (Cité des enfants perdus, La) (1995)|Adventure Fantasy|0.048344001173973083 0.015766527503728867 0.15786002576351166 0.06065282225608826 0.11939308047294617 0.1281350702047348 0.3889074921607971 0.5288560390472412 0.0022380552254617214 0.501484215259552 0.06689713895320892 0.21454422175884247 0.6746312379837036 0.4360499083995819 0.8028656244277954 0.0 0.09499021619558334 0.14758549630641937 0.3435470461845398 0.08814110606908798 0.0 0.503294825553894 0.20050764083862305 0.10078251361846924 0.903770625591278129|1995|7.6
33|Wings of Courage (1995)|Adventure|0.07484585791826248 0.14687205851078033 0.41971471905708313 0.0 0.5662107467651367 0.17922264337539673 0.6982700228691101 0.2644142210483551 0.06200341880321503 0.28450021147727966 0.03972596302628517 0.016062984243035316 0.17191073298454285 0.18754182755947113 0.6751387119293213 0.32670044898986816 0.044344212859869 0.18568792939186096 0.03477821126580238 0.0 0.42536431550979614 0.02634279429912567 0.007947375997900963 0.001513756113126874 0.636864304542541533|1995|6.4
44|Mortal Kombat (1995)|Adventure Fantasy|0.05763258412480354 0.30678078532218933 0.0 0.0 0.051413003355264664 0.6367062926292419 0.0 0.021275250241160393 0.016850564628839493 0.15899989008903503 0.0 0.0 0.3251783549785614 0.0 0.527643620967865 0.16493865847587585 0.26880162954330444 0.22751949727535248 0.039271775633096695 0.0 0.6755295395851135 0.0 0.0 0.014352090656757355 0.744873225688934344|1995|5.8
48|Pocahontas (1995)|Animation|0.06887110322713852 0.4309568703174591 0.37569814920425415 0.008406462147831917 0.7366828322410583 0.24560381472110748 0.0775684118270874 0.12003965675830841 0.04140317067503929 0.0 0.038700129836797714 0.19597499072551727 0.07938896119594574 0.0 0.8676434755325317 0.048314593732357025 0.19654278457164764 0.3066515624523163 0.20430201292037964 0.012252033688127995 0.2726367712020874 0.03694310039281845 0.07296190410852432 0.03620582073926926 0.511532247066497848|1995|6.7
53|Lamerica (1994)|Adventure|0.09019589424133301 0.24059604108333588 0.492233544588089 0.18057510256767273 0.08178091049194336 0.040582627058029175 0.4290969967842102 0.42856070399284363 0.006428532302379608 0.44044554233551025 0.20876947045326233 0.16679613292217255 0.2528707683086395 0.429656982421875 0.4379192888736725 0.10851790755987167 0.049846697598695755 0.30336812138557434 0.5911307334899902 0.21800774335861206 0.11259058862924576 0.769294798374176 0.4519590139389038 0.19992241263389587 0.767210364341735853|1994|7.5
